"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","DAPI-A","FITC-A","PE-A","V-510_50-A","Time"
119296,38405,203571,114187,23571,262143,34010.7,130.65,132.98,236.61,167.5,28.174
134484,49122,179422,65273.7,15688,262143,27833.6,315.57,202.52,175.23,285.42,28.4335
130874,47579,180268,112188,25195,262143,35938.8,123.95,142.74,270.27,166.83,28.4557
113825,35987,207288,117274,26836,262143,53496.7,83.75,142.74,317.79,127.97,29.1045
127766,44755,187092,116911,24504,262143,38638.6,93.13,151.28,266.31,142.71,29.1326
123952,43203,188027,106156,25488,262143,44368.3,136.01,175.68,221.76,181.57,29.3479
138079,48854,185228,98275.9,23820,262143,15039.9,134,109.8,249.48,170.85,30.1324
126320,41486,199550,97903.8,22192,262143,27371,259.96,204.96,217.8,264.65,30.3728
121314,42706,186167,122153,26289,262143,41183.8,132.66,146.4,279.18,184.25,30.6635
111364,35029,208351,109456,22480,262143,59709.2,103.18,128.1,251.46,127.3,30.6967
140862,48962,188545,114111,26425,262143,44928.8,125.29,150.06,279.18,164.15,30.8898
142215,50323,185208,62493.3,14961,262143,23654.2,290.11,197.64,116.82,268,30.9572
112373,37229,197816,119400,24031,262143,61658.5,126.63,131.76,302.94,194.3,30.9794
130540,45343,188675,109802,25389,262143,29718.2,100.5,123.22,241.56,137.35,31.2017
125835,44655,184676,118377,24823,262143,30063.7,135.34,163.48,275.22,184.25,31.4441
120389,40754,193597,120407,25624,262143,39917.2,119.26,150.06,259.38,177.55,31.4692
127183,42219,197425,120455,25472,262143,45291.4,137.35,153.72,291.06,192.96,31.4903
132344,46690,185763,114131,26933,262143,28236.6,142.71,170.8,258.39,183.58,31.6674
123309,40455,199756,119516,25159,262143,73883.5,105.19,137.86,269.28,150.75,32.0466
125782,41487,198694,132895,28128,262143,43587.6,137.35,157.38,326.7,190.95,32.3574
161897,60122,176476,73330.5,17449,262143,9865.68,495.8,279.38,147.51,372.52,32.3815
118198,38470,201357,120682,25031,262143,33340.1,123.28,143.96,306.9,176.88,33.2667
134809,48716,181355,110405,24420,262143,43489.6,154.77,181.78,275.22,176.88,33.3029
116326,35204,216554,108658,21631,262143,46001.5,103.18,137.86,293.04,132.66,33.3391
127526,44183,189158,112885,22812,262143,17362.9,145.39,191.54,266.31,201,33.7133
128489,42581,197757,116157,24040,262143,53234.1,89.11,164.7,224.73,141.37,34.7051
109861,33218,216745,116161,24788,262143,63746.1,88.44,136.64,296.01,126.63,34.7222
154115,43883,230159,147535,24284,262143,15624.7,119.26,130.54,248.49,167.5,34.7352
140953,51438,179586,112966,23121,262143,26035.8,146.06,137.86,237.6,190.28,35.5067
139298,48063,189939,109472,22327,262143,40234.4,148.74,145.18,220.77,172.19,35.5329
118520,40286,192805,118189,25046,262143,62206.9,87.1,180.56,297,142.71,36.0117
125450,41577,197741,117514,23900,262143,45943.9,102.51,167.14,264.33,161.47,36.2903
122660,41442,193973,119178,25959,262143,52972.5,144.72,143.96,266.31,199.66,36.3335
