"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","DAPI-A","FITC-A","PE-A","V-510_50-A","Time"
115061,35451,212706,118361,25805,262143,1143.32,131.32,147.62,274.23,168.84,28.4733
119528,39950,196080,115172,27717,262143,5205.54,152.76,179.34,264.33,175.54,28.6509
113791,38471,193845,110715,26335,262143,1277.65,103.85,170.8,235.62,170.18,28.674
121137,38939,203879,117957,25673,262143,1485.71,128.64,174.46,281.16,194.3,28.736
107608,32345,218031,127097,27697,262143,1516.01,110.55,95.16,299.97,152.09,28.7602
114950,35974,209411,123368,27292,262143,1346.33,111.89,156.16,274.23,180.9,28.7906
124083,39790,204371,114310,26264,262143,946.37,123.28,200.08,235.62,176.88,28.8558
110761,35871,202359,62000.4,15995,254033,992.83,449.57,225.7,211.86,363.81,28.9252
145225,53736,177115,107193,25521,262143,1910.92,135.34,153.72,234.63,168.17,29.0061
139583,50159,182374,106213,25948,262143,1042.32,146.73,143.96,205.92,215.07,29.8153
116849,39646,193155,110933,22903,262143,1206.95,97.15,109.8,256.41,127.3,29.9351
108277,34981,202854,115383,26929,262143,1183.72,121.27,126.88,249.48,164.15,30.1684
119653,40813,192134,117055,27142,262143,2740.13,121.27,125.66,303.93,175.54,30.5835
119987,39895,197104,96243.4,21432,262143,1721.04,140.03,170.8,276.21,194.3,30.6623
126546,42483,195215,110903,26382,262143,1374.61,147.4,145.18,262.35,186.93,30.7169
131429,43526,197889,112558,26677,262143,1866.48,142.04,119.56,258.39,174.87,30.7485
104030,33545,203241,113290,26788,262143,1625.09,105.19,131.76,288.09,151.42,31.0123
126846,43054,193082,108996,22204,262143,1395.82,152.76,145.18,256.41,174.87,31.0354
119324,38250,204446,111024,24309,262143,5839.82,129.98,158.6,248.49,174.2,31.3675
118173,39090,198122,113975,26131,262143,1025.15,121.27,165.92,302.94,168.17,31.3927
111839,34523,212308,124750,25254,262143,1254.42,110.55,156.16,240.57,165.49,31.5135
123054,43014,187485,120937,24380,262143,1516.01,126.63,153.72,304.92,164.15,31.5629
112372,36235,203240,114041,22761,262143,1245.33,105.86,117.12,255.42,120.6,31.585
124672,44498,183615,110156,24013,262143,1670.54,121.27,103.7,286.11,174.2,31.8067
114829,37990,198089,104816,22013,262143,1238.26,106.53,106.14,250.47,123.28,32.0989
112195,36111,203617,113865,24710,262143,1217.05,116.58,123.22,259.38,166.16,32.1262
124558,42693,191203,113505,25052,262143,1960.41,144.72,147.62,262.35,192.96,32.1535
116683,37451,204184,124189,25993,262143,1500.86,118.59,167.14,259.38,193.63,32.3322
120775,40997,193065,116109,24096,262143,1500.86,132.66,130.54,317.79,171.52,32.3585
112249,36392,202143,123736,27791,262143,1521.06,112.56,148.84,309.87,181.57,33.1887
119752,39842,196980,119156,29316,262143,1653.37,119.26,165.92,300.96,157.45,33.2086
128023,43702,191984,103832,20970,262143,1309.97,120.6,118.34,266.31,177.55,33.2339
114567,37160,202052,115863,23220,262143,1738.21,119.93,142.74,274.23,133.33,33.2612
137815,49451,182642,77642,18957,262143,1331.18,173.53,74.42,206.91,192.96,33.2959
117790,38251,201811,112214,24109,262143,1479.65,131.99,185.44,297,180.9,33.32
126312,46997,176139,77818.9,19550,260867,1483.69,339.69,179.34,226.71,266.66,33.3589
119632,38563,203310,123129,25193,262143,1399.86,127.97,131.76,234.63,183.58,33.5796
116783,36602,209101,124414,27665,262143,6201.4,130.65,148.84,232.65,180.9,33.5985
137891,46682,193583,99726.5,21940,262143,2724.98,141.37,125.66,190.08,181.57,33.6206
142539,49962,186970,116342,26715,262143,1474.6,125.96,172.02,297,156.78,33.6406
103364,34755,194908,102520,22884,262143,2141.2,140.7,169.58,257.4,189.61,34.206
127314,41983,198739,107012,26214,262143,1748.31,134.67,134.2,263.34,167.5,34.2837
129487,44265,191711,121527,24841,262143,1450.36,138.69,109.8,291.06,201,34.31
123090,43537,185287,63563.2,14525,262143,1519.04,339.02,197.64,203.94,261.97,34.6368
128853,45513,185541,114536,26490,262143,2728.01,92.46,125.66,299.97,119.26,34.9805
128398,44230,190248,92438.2,20400,262143,1411.98,107.2,100.04,266.31,146.06,35.0025
134272,48878,180033,115006,24888,262143,1429.15,147.4,172.02,303.93,170.18,35.1476
138104,49679,182186,105462,24249,262143,1901.83,143.38,153.72,253.44,165.49,35.1749
129158,44091,191978,109177,23911,262143,1188.77,129.31,161.04,236.61,165.49,35.3861
129328,43587,194453,112290,24836,262143,1704.88,131.99,154.94,233.64,192.96,35.4124
130680,44405,192867,118328,24737,262143,1767.5,115.24,152.5,275.22,169.51,35.4387
124896,39907,205106,113088,23293,262143,3714.78,94.47,109.8,236.61,144.72,35.4607
120649,39580,199769,119054,27646,262143,1809.92,140.7,153.72,287.1,189.61,35.7004
133419,43980,198812,112052,24493,262143,1284.72,115.24,62.22,239.58,152.09,35.983
128445,42352,198758,96940,21202,262143,1191.8,96.48,119.56,244.53,178.89,36.0051
144027,49699,189922,109973,24089,262143,1280.68,132.66,132.98,263.34,171.52,36.6209
123856,42322,191793,118889,26322,262143,1536.21,123.95,198.86,304.92,166.83,37.6813
110015,36441,197853,115695,24089,262143,1873.55,127.97,178.12,313.83,215.74,37.8537
147759,53478,181075,109662,24088,262143,1476.62,134,152.5,278.19,195.64,37.8747
147154,50752,190020,73020.7,17195,262143,1081.71,291.45,204.96,144.54,247.9,38.026
138959,49135,185343,118716,26048,262143,1678.62,150.08,165.92,290.07,198.32,38.047
119692,37739,207853,118937,23352,262143,1536.21,133.33,168.36,272.25,190.28,38.2583
145465,50922,187212,108974,25729,262143,1204.93,141.37,129.32,205.92,162.81,38.9445
129195,43870,193000,111298,25608,262143,1603.88,125.29,141.52,247.5,170.18,39.4069
130454,44846,190639,113820,24771,262143,1484.7,147.4,148.84,293.04,180.23,39.7936
138196,49575,182689,86363.8,20584,262143,1206.95,243.21,196.42,217.8,257.28,40.0889
142729,50846,183965,102942,22940,262143,2531.06,152.76,175.68,260.37,203.68,40.2634
120787,40037,197715,111918,23554,262143,1734.17,101.17,125.66,290.07,128.64,41.6558
118751,37462,207743,127208,30048,262143,1586.71,148.07,165.92,288.09,210.38,41.6758
126122,41188,200679,115694,24397,262143,1366.53,126.63,135.42,287.1,178.22,41.7809
