"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","DAPI-A","FITC-A","PE-A","V-510_50-A","Time"
129614,44558,190637,110256,26505,262143,983.74,147.4,180.56,249.48,192.96,27.4785
121400,41177,193216,109279,23213,262143,1184.73,85.09,126.88,261.36,125.96,27.5374
130929,39743,215902,137954,31497,262143,935.26,105.19,130.54,281.16,167.5,27.557
6222.23,6346,64257.8,339.16,302,73600,21.21,4.02,2.44,-8.91,-1.34,27.8503
118511,44549,174341,77524.9,19957,254581,923.14,140.7,117.12,201.96,169.51,28.7136
105109,34927,197224,126036,25853,262143,1281.69,142.71,131.76,306.9,165.49,28.7302
123086,43119,187077,114197,25637,262143,1063.53,141.37,181.78,291.06,180.9,28.8035
119610,38767,202202,121031,26933,262143,1124.13,123.28,135.42,282.15,166.16,28.8252
125444,42426,193775,112990,25104,262143,1171.6,144.05,137.86,313.83,203.01,28.8592
125362,41417,198367,114213,23560,262143,1249.37,101.84,87.84,261.36,127.97,28.8892
110017,36039,200064,108579,20590,262143,1136.25,87.1,115.9,288.09,126.63,29.3415
125920,43396,190162,114242,24025,262143,1080.7,119.93,132.98,295.02,181.57,29.3725
119116,40514,192684,119026,25983,262143,1403.9,156.11,154.94,309.87,196.31,29.3952
126823,42467,195716,120316,28168,262143,1197.86,125.96,170.8,292.05,203.68,29.4314
116824,39428,194181,117648,26481,262143,1406.93,107.87,142.74,329.67,153.43,29.5646
116437,36682,208027,112247,22957,262143,1087.77,111.89,187.88,268.29,176.88,29.5842
116341,36543,208644,113209,24058,262143,1060.5,137.35,189.1,336.6,173.53,29.6245
113929,35586,209815,118589,25156,262143,881.73,137.35,154.94,323.73,167.5,29.6503
121588,43237,184296,104344,24289,262143,786.79,132.66,141.52,236.61,166.83,29.6658
155133,51711,196609,104394,23897,262143,284.82,107.2,96.38,138.6,110.55,29.6802
111484,38506,189742,104605,24437,262143,985.76,108.54,97.6,312.84,155.44,29.7205
117171,38637,198745,114750,23083,262143,1113.02,137.35,195.2,300.96,162.81,29.7608
115811,37817,200698,117565,25957,262143,1229.17,131.32,172.02,280.17,163.48,30.3433
93260.3,30630,199540,102805,21600,262143,1201.9,116.58,150.06,327.69,158.12,30.9918
115840,38294,198247,109633,24422,262143,988.79,133.33,103.7,307.89,178.89,31.3109
125173,42654,192323,117325,26813,262143,806.99,141.37,156.16,256.41,176.88,31.3698
106573,33018,211532,111318,26012,262143,1149.38,74.37,148.84,285.12,129.31,31.4782
109965,35820,201191,114702,23046,262143,1039.29,110.55,170.8,297,178.89,31.6651
135710,46199,192512,110498,24774,262143,679.73,116.58,154.94,238.59,176.21,31.6992
