"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","DAPI-A","FITC-A","PE-A","V-510_50-A","Time"
182235,46362,257602,193366,22025,262143,60167.7,378.55,325.74,617.76,469,33.6348
143834,51583,182741,96177.5,25804,244268,5546.92,306.19,252.54,217.8,271.35,34.8855
146493,53251,180289,125726,25598,262143,18078,148.07,161.04,284.13,201,35.2082
125012,39830,205694,119267,24483,262143,14448,127.3,186.66,280.17,183.58,36.4196
127347,47252,176624,120724,26384,262143,14646,128.64,163.48,310.86,184.92,36.5426
127086,48474,171817,102739,29098,231393,15367.1,150.75,172.02,232.65,193.63,36.8715
143488,50435,186451,99905.8,22605,262143,11523.1,139.36,180.56,229.68,194.3,36.8947
155700,55286,184567,108878,25258,262143,11445.3,153.43,139.08,213.84,190.95,36.9562
147745,55731,173739,108270,21901,262143,19943.5,158.79,203.74,233.64,194.97,37.1226
130526,41881,204249,119867,26893,262143,16261,127.97,168.36,246.51,225.79,37.1387
144209,54457,173548,98362.5,25237,255430,21575.6,113.9,150.06,270.27,168.84,37.1569
125137,41540,197423,123488,29157,262143,13803.7,129.31,178.12,298.98,206.36,37.171
140060,39461,232609,142956,32904,262143,8035.56,119.93,154.94,282.15,187.6,37.1861
135813,46088,193122,110493,23958,262143,21004,166.83,192.76,272.25,201.67,37.6562
151883,52726,188783,109547,20900,262143,14642,123.28,184.22,253.44,210.38,38.3945
131173,47141,182358,117781,25620,262143,15522.7,138.02,168.36,245.52,203.01,38.6719
145813,54655,174842,127649,27014,262143,20289.9,175.54,154.94,288.09,202.34,38.6991
118543,37166,209030,118241,26676,262143,20213.1,101.84,103.7,297.99,148.07,38.9422
150038,55245,177987,100127,23836,262143,12684.6,154.77,123.22,245.52,180.23,39.4778
123246,41195,196068,113422,24087,262143,17170,102.51,97.6,234.63,150.08,40.1626
136987,48149,186454,125742,26879,262143,12288.7,158.79,202.52,287.1,215.07,40.1858
145402,53478,178187,109990,22396,262143,11189.8,141.37,164.7,217.8,201,40.2645
141477,50651,183053,115640,27452,262143,20553.5,97.82,129.32,272.25,138.69,40.7728
123441,44455,181979,122021,26733,262143,18805.2,136.01,178.12,295.02,202.34,42.1335
124316,40014,203608,124444,27186,262143,20262.6,152.76,192.76,284.13,182.91,42.2162
135553,46172,192403,122293,26159,262143,16153.9,153.43,139.08,271.26,206.36,42.2343
146907,53472,180051,120290,24881,262143,14434.9,149.41,184.22,286.11,205.02,42.2606
126466,42750,193874,110140,25021,262143,17712.4,161.47,168.36,291.06,174.87,42.4008
120403,38931,202685,120496,24553,262143,16462,160.13,175.68,264.33,193.63,42.7084
130487,42802,199794,123903,26601,262143,17591.2,111.22,80.52,289.08,129.31,43.5072
151083,55131,179598,100617,18914,262143,14302.6,120.6,140.3,244.53,131.99,43.5375
137031,48834,183898,110442,23164,262143,16556.9,155.44,167.14,269.28,204.35,43.9319
127536,42651,195967,94177.9,22252,262143,15061.1,123.95,114.68,264.33,132.66,43.942
122110,38851,205981,125270,24980,262143,18732.5,119.26,167.14,376.2,222.44,45.4751
139017,51472,177001,101316,21095,262143,12464.4,111.22,128.1,270.27,166.83,45.5547
124624,42128,193870,128615,27996,262143,15084.3,123.95,163.48,315.81,189.61,45.7575
27341.3,27376,65453.1,141.52,164,56552.8,-14.14,-5.36,8.54,6.93,9.38,46.8811
107100,36845,190499,114190,27228,262143,20833.3,139.36,157.38,300.96,192.96,47.9936
146888,52191,184447,107791,23305,262143,8982.94,160.13,156.16,205.92,171.52,48.0128
109874,33885,212505,122806,25521,262143,14106.7,142.04,163.48,310.86,184.92,48.042
133694,45827,191192,119325,25525,262143,13048.2,141.37,164.7,290.07,175.54,49.0002
126509,41046,201990,108396,23918,262143,13702.7,148.74,154.94,246.51,183.58,49.0154
133726,47595,184134,117064,23568,262143,15531.8,151.42,156.16,276.21,190.95,49.0335
125372,40726,201747,114379,22838,262143,15932.8,119.26,174.46,308.88,144.72,49.0517
123483,42203,191753,119045,25753,262143,10693.9,168.17,152.5,249.48,175.54,49.0688
137970,49204,183765,121612,27453,262143,16828.6,146.06,163.48,280.17,174.2,49.1132
126235,42055,196717,113309,24117,262143,11654.4,151.42,169.58,258.39,178.22,49.4077
126917,42371,196304,98777.3,21360,262143,19821.3,134,173.24,269.28,182.91,49.6518
130540,43863,195041,119011,26161,262143,14253.1,119.26,185.44,264.33,182.24,49.673
120919,39612,200054,114495,23156,262143,14058.2,123.28,153.72,251.46,176.21,49.8091
130155,43443,196345,120482,28314,262143,14700.5,157.45,119.56,282.15,160.13,49.8374
118001,38334,201735,115613,24187,262143,15024.8,178.89,181.78,300.96,184.25,50.3326
126036,41475,199154,120752,26478,262143,17341.7,144.72,179.34,313.83,195.64,50.4809
121091,39405,201391,122808,26368,262143,24005.7,120.6,168.36,278.19,188.27,50.8359
115051,37270,202307,118619,28303,262143,15255,131.32,170.8,314.82,163.48,51.3453
139841,50376,181924,109566,23133,262143,10965.6,106.53,145.18,233.64,117.92,51.3675
123540,42412,190897,115249,26557,262143,17598.2,93.13,158.6,301.95,134.67,51.6559
123313,43220,186983,115590,24994,262143,12087.7,144.05,163.48,284.13,188.27,51.6791
121579,40652,196000,117458,27580,262143,13689.5,138.69,141.52,231.66,157.45,51.9081
124379,41391,196934,113318,23848,262143,17002.3,132.66,170.8,262.35,159.46,51.9283
30325.3,30974,64163.4,154.94,184,55185.6,-6.06,-2.68,-28.06,1.98,-8.04,52.2773
132131,46838,184879,111249,24409,262143,19314.2,101.84,164.7,304.92,142.71,52.5345
122800,40214,200124,118175,24411,262143,17956.8,150.75,136.64,278.19,195.64,52.8007
131944,46155,187349,117430,22790,262143,19347.6,138.02,163.48,266.31,179.56,53.0065
126963,42320,196613,127850,31507,262143,11990.7,130.65,176.9,348.48,184.92,53.0983
134142,47155,186431,96642.3,19184,262143,14230.9,144.05,164.7,234.63,167.5,53.3101
6636.29,6994,62184.1,48.8,72,44418.8,16.16,12.06,-13.42,4.95,10.72,53.3383
112391,35271,208829,115990,27358,262143,21984.7,112.56,114.68,274.23,144.72,53.3716
232203,43886,262143,228236,26213,262143,24147.1,201.67,253.76,485.1,274.7,53.3797
130914,45014,190598,113443,23037,262143,12466.4,131.99,168.36,289.08,201,53.9899
138960,49300,184724,81710.7,24452,219000,10790.8,101.84,137.86,181.17,124.62,54.6364
129481,45823,185184,112022,22248,262143,15591.4,144.05,183,307.89,184.92,54.9864
129917,40597,209726,113772,22263,262143,16856.9,150.75,173.24,291.06,176.88,55.1145
121141,38866,204269,122155,25970,262143,15801.5,123.95,172.02,294.03,174.87,55.4262
131093,45842,187412,107896,23322,262143,12128.1,131.32,132.98,235.62,181.57,55.4736
145406,52538,181380,100978,23331,262143,12554.3,150.08,147.62,271.26,202.34,55.8266
125698,41849,196845,131786,29944,262143,15241.9,112.56,150.06,329.67,185.59,56.7445
130225,41689,204716,108142,21255,262143,12016,129.98,141.52,255.42,193.63,56.7697
156512,56442,181729,101400,21286,262143,16358,106.53,132.98,250.47,152.76,56.9714
131522,42202,204242,121206,24500,262143,15122.7,143.38,190.32,299.97,201,56.9916
148718,53298,182865,103458,23925,262143,18893.1,144.72,162.26,215.82,198.99,57.0208
144310,50671,186645,111506,26890,262143,14713.7,119.93,96.38,264.33,164.82,58.2252
136514,49524,180652,101411,20838,262143,16470.1,110.55,131.76,224.73,151.42,58.3048
