"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","DAPI-A","FITC-A","PE-A","V-510_50-A","Time"
111452,34731,210306,125509,27017,262143,114616,122.61,181.78,304.92,174.2,28.9913
118270,37590,206197,119649,26460,262143,157082,109.21,98.82,295.02,156.78,29.6874
113986,34696,215304,115447,28388,262143,151016,115.24,109.8,283.14,145.39,29.7829
118517,39058,198861,131970,27721,262143,156692,123.95,174.46,320.76,172.19,29.8081
115148,38161,197750,111997,24756,262143,105642,139.36,102.48,285.12,163.48,29.8312
110747,34874,208118,113473,24964,262143,137843,90.45,119.56,297.99,131.99,30.0895
123945,44335,183216,110821,23984,262143,117107,135.34,134.2,295.02,141.37,30.3782
114879,38197,197102,113397,22980,262143,113202,113.23,135.42,299.97,178.89,30.4254
122838,43119,186700,96380,22524,262143,85281.4,150.75,141.52,192.06,171.52,30.459
115837,38086,199325,93628.9,20191,262143,146306,253.93,206.18,252.45,251.92,30.7624
110783,33611,216008,120856,24875,262143,150848,121.94,179.34,301.95,163.48,31.1109
117912,38906,198620,121078,27929,262143,125755,111.89,170.8,331.65,176.21,31.1634
121109,40894,194088,75333.8,17435,262143,103874,275.37,179.34,169.29,243.88,31.1865
109080,34969,204429,107277,24466,262143,162995,127.97,132.98,277.2,165.49,32.0086
120365,39643,198982,115946,26021,262143,138570,129.31,151.28,280.17,182.24,32.1986
120598,40221,196501,114619,24880,262143,133080,143.38,192.76,271.26,204.35,32.2353
126459,44818,184918,114446,24979,262143,126833,129.98,173.24,275.22,195.64,32.3172
122634,43283,185683,117188,25389,262143,131098,110.55,120.78,280.17,148.07,32.482
123894,41245,196860,80045.4,18645,262143,95917.7,365.15,206.18,228.69,299.49,32.5051
121005,42467,186738,112754,26839,262143,173354,125.29,126.88,305.91,171.52,32.5282
119211,41882,186539,115432,26942,262143,156952,132.66,137.86,311.85,180.9,32.5482
113414,36971,201042,115611,25275,262143,134341,131.32,153.72,310.86,176.21,32.734
113425,38667,192241,111869,22602,262143,171329,101.17,148.84,285.12,162.81,32.7571
